0 0 21
0 0 24
0 0 27
0 0 29
0 0 31
0 0 33
0 0 35
0 0 37
0 0 39
0 0 42
0 0 44
0 0 45
0 0 47
0 0 50
0 0 52
0 0 54
0 0 58
0 0 65
0 0 69
0 0 70
0 21 35
0 21 39
0 21 46
0 21 49
0 21 64
0 22 40
0 22 62
0 22 64
0 23 31
0 23 37
0 23 44
0 23 67
0 24 28
0 25 25
0 25 32
0 25 37
0 25 63
0 28 54
0 28 56
0 29 47
0 29 58
0 30 67
0 31 42
0 32 40
0 33 54
0 33 59
0 34 42
0 34 66
0 35 57
0 35 64
0 36 52
0 37 45
0 39 62
0 40 48
0 41 45
0 42 53
0 42 58
0 42 68
0 43 44
0 43 46
0 43 65
0 43 70
0 44 49
0 45 49
0 47 56
0 48 61
0 49 50
0 50 63
0 50 68
0 51 59
0 52 62
0 53 58
0 53 62
0 54 57
0 54 61
0 57 58
0 57 62
0 59 61
0 59 70
0 62 68
20 23 28
20 30 46
20 30 50
21 22 61
21 26 44
21 28 51
21 29 40
21 32 65
21 36 62
21 48 65
22 25 51
22 29 47
22 30 34
22 30 55
22 30 64
22 34 63
22 35 35
22 37 42
22 46 59
22 50 65
23 24 25
23 24 28
23 24 52
23 27 39
23 27 44
23 32 61
23 34 40
23 41 53
23 49 64
23 59 66
24 25 38
24 26 65
24 30 45
24 45 65
25 27 46
25 34 52
25 39 42
25 54 66
26 26 55
26 26 68
26 27 43
26 31 60
26 32 58
26 36 44
26 45 47
26 46 69
26 53 67
27 31 46
27 31 54
27 44 65
27 48 58
28 32 64
28 34 45
28 39 61
28 40 45
28 40 49
29 31 32
29 32 60
29 44 60
29 55 60
30 31 53
30 34 60
30 36 38
30 38 60
30 45 65
30 52 54
31 34 59
31 53 70
32 39 70
32 41 60
32 50 69
32 53 68
32 57 59
33 35 38
33 42 67
33 44 66
33 52 68
34 35 47
34 40 65
34 41 52
34 42 43
34 47 61
34 50 65
35 36 40
35 38 50
35 38 57
37 41 55
39 43 53
39 44 60
40 43 53
41 43 44
42 51 61
45 47 55
45 48 55
48 53 58
48 56 59
49 50 55
51 55 62
52 59 69
54 58 66
