,query,direction,predicted theta,MAPE,Query sigma factor,predicted direction
48,"[21.0, 32.0, 65.0]",Y,"[20.0, 28.20322036743164, 48.09088897705078]",0.07485691457986832,1.2,cubY
49,"[21.0, 36.000003814697266, 62.0]",Y,"[20.0, 29.721799850463867, 57.244510650634766]",0.062140822410583496,1.2,cubY
50,"[21.0, 48.0, 65.0]",Y,"[34.776241302490234, 43.15655517578125, 52.96078872680664]",0.042535342276096344,1.2,cubX
51,"[22.0, 25.0, 51.0]",Y,"[25.023971557617188, 28.4664306640625, 43.243045806884766]",0.0678446963429451,1.2,cubX
52,"[22.0, 30.0, 34.0]",Y,"[20.0, 27.299348831176758, 30.41250228881836]",0.08358743041753769,1.2,cubY
53,"[22.0, 30.0, 64.0]",Y,"[34.729000091552734, 51.285972595214844, 55.32790756225586]",0.04583722725510597,1.2,cubX
54,"[22.0, 34.0, 63.0]",Y,"[30.183895111083984, 50.192352294921875, 54.29881286621094]",0.058825861662626266,1.2,cubX
55,"[22.0, 37.0, 42.0]",Y,"[50.726722717285156, 55.689029693603516, 62.08894729614258]",0.03323969617486,1.2,cubX
56,"[22.0, 46.0, 59.0]",Y,"[31.96582794189453, 43.139930725097656, 58.893028259277344]",0.04204295203089714,1.2,cubX
57,"[22.0, 50.0, 65.0]",Y,"[41.32249069213867, 43.76912307739258, 62.544254302978516]",0.04954848438501358,1.2,cubX
58,"[23.0, 24.0, 28.0]",Y,"[35.84599685668945, 39.893043518066406, 60.980709075927734]",0.06511129438877106,1.2,cubX
59,"[23.0, 24.0, 52.0]",Y,"[20.0, 24.10702896118164, 47.11843490600586]",0.06101604551076889,1.2,cubY
60,"[23.0, 27.0, 39.0]",Y,"[26.83543586730957, 29.894977569580078, 58.105411529541016]",0.060789622366428375,1.2,cubY
61,"[23.0, 27.0, 44.0]",Y,"[26.415006637573242, 33.02277755737305, 52.61534881591797]",0.06654806435108185,1.2,cubX
62,"[23.0, 34.0, 40.0]",Y,"[36.83888244628906, 50.343833923339844, 56.946903228759766]",0.03584562987089157,1.2,cubX
63,"[23.0, 41.0, 53.0]",Y,"[24.886451721191406, 45.72923278808594, 47.94119644165039]",0.07189875096082687,1.2,cubX
64,"[23.0, 49.0, 64.0]",Y,"[20.0, 44.82884979248047, 50.93836975097656]",0.055568259209394455,1.2,cubX
65,"[23.0, 59.0, 66.0]",Y,"[20.0, 44.63251495361328, 52.35111999511719]",0.050030432641506195,1.2,cubX
66,"[24.0, 25.0, 38.0]",Y,"[29.127883911132812, 44.82787322998047, 51.284454345703125]",0.08504242449998856,1.2,cubX
67,"[24.0, 26.0, 65.0]",Y,"[24.949094772338867, 44.09879684448242, 67.7356185913086]",0.04412996023893356,1.2,cubX
68,"[24.0, 30.0, 45.0]",Y,"[22.835744857788086, 35.48013687133789, 37.77009963989258]",0.0812608003616333,1.2,cubX
69,"[25.0, 34.0, 52.0]",Y,"[20.0, 24.513925552368164, 56.0389404296875]",0.04902998358011246,1.2,cubX
70,"[25.0, 54.0, 66.0]",Y,"[46.05181884765625, 46.084842681884766, 56.743247985839844]",0.037242043763399124,1.2,cubY
71,"[26.0, 26.0, 55.0]",Y,"[20.0, 24.054391860961914, 47.690208435058594]",0.07223959267139435,1.2,cubY
72,"[26.0, 32.0, 58.0]",Y,"[22.37419319152832, 49.521934509277344, 52.1893424987793]",0.05161984637379646,1.2,cubX
73,"[26.0, 36.000003814697266, 44.0]",Y,"[20.0, 22.7871036529541, 46.062618255615234]",0.07565684616565704,1.2,cubY
74,"[26.0, 45.0, 47.0]",Y,"[31.12933349609375, 45.01634216308594, 51.13697052001953]",0.06793852895498276,1.2,cubX
75,"[27.0, 48.0, 58.0]",Y,"[50.2934455871582, 51.85784912109375, 59.82941436767578]",0.041467003524303436,1.2,cubX
76,"[28.0, 32.0, 64.0]",Y,"[23.921051025390625, 42.75076675415039, 67.0176773071289]",0.06894209235906601,1.2,cubX
77,"[28.0, 34.0, 45.0]",Y,"[23.199125289916992, 48.564544677734375, 53.269248962402344]",0.06621699780225754,1.2,cubX
78,"[28.0, 39.0, 61.0]",Y,"[31.696369171142578, 60.17646408081055, 68.08513641357422]",0.05256873369216919,1.2,cubX
79,"[28.0, 40.0, 45.0]",Y,"[48.45161437988281, 58.158748626708984, 61.220767974853516]",0.042885564267635345,1.2,cubY
80,"[28.0, 40.0, 49.0]",Y,"[36.28151321411133, 37.387901306152344, 48.99849319458008]",0.049871936440467834,1.2,cubX
81,"[29.0, 31.0, 32.0]",Y,"[21.6143856048584, 35.241188049316406, 37.64007568359375]",0.05118217319250107,1.2,cubY
82,"[29.0, 55.0, 60.0]",Y,"[20.0, 38.1578483581543, 41.803890228271484]",0.03746231272816658,1.2,cubY
83,"[30.0, 34.0, 60.0]",Y,"[20.0, 37.44755935668945, 68.78356170654297]",0.04674321785569191,1.2,cubX
84,"[30.0, 36.000003814697266, 38.0]",Y,"[35.149147033691406, 46.209041595458984, 52.65299987792969]",0.04184112697839737,1.2,cubX
85,"[30.0, 45.0, 65.0]",Y,"[51.95046615600586, 58.589107513427734, 59.591522216796875]",0.04049418494105339,1.2,cubX
86,"[30.0, 52.0, 54.0]",Y,"[20.0, 36.15520477294922, 39.94194793701172]",0.0720728412270546,1.2,cubY
87,"[31.0, 34.0, 59.0]",Y,"[34.28364562988281, 58.66910934448242, 64.18942260742188]",0.03585455194115639,1.2,cubX
88,"[32.0, 39.0, 70.0]",Y,"[20.0, 29.917734146118164, 33.33369445800781]",0.05631453916430473,1.2,cubZ
89,"[32.0, 41.0, 60.0]",Y,"[20.0, 20.0, 57.29860305786133]",0.05134351924061775,1.2,cubX
90,"[32.0, 50.0, 69.0]",Y,"[29.203622817993164, 54.074562072753906, 62.69137191772461]",0.04424005374312401,1.2,cubX
91,"[33.0, 35.0, 38.0]",Y,"[20.0, 29.859634399414062, 59.740379333496094]",0.0952240601181984,1.2,cubY
92,"[34.0, 40.0, 65.0]",Y,"[37.02862548828125, 37.15871047973633, 51.98398208618164]",0.0627325028181076,1.2,cubX
93,"[34.0, 41.0, 52.0]",Y,"[28.10407066345215, 31.46091079711914, 49.812435150146484]",0.06154559180140495,1.2,cubX
94,"[34.0, 47.0, 61.0]",Y,"[20.0, 33.79493713378906, 66.16632080078125]",0.07378748804330826,1.2,cubX
95,"[35.0, 36.000003814697266, 40.0]",Y,"[23.15477752685547, 35.92034149169922, 39.36531448364258]",0.06657285988330841,1.2,cubX
96,"[35.0, 38.0, 57.0]",Y,"[32.07282638549805, 42.36465835571289, 62.79869079589844]",0.03638061136007309,1.2,cubX
97,"[37.0, 41.0, 55.0]",Y,"[38.30178451538086, 38.33132553100586, 53.33835220336914]",0.043043047189712524,1.2,cubX
98,"[40.0, 43.0, 53.0]",Y,"[20.0, 27.57478904724121, 55.244754791259766]",0.10182080417871475,1.2,cubY
99,"[41.0, 43.0, 44.0]",Y,"[40.52743911743164, 42.96765899658203, 54.83855056762695]",0.04571413993835449,1.2,cubX
100,"[48.0, 53.0, 58.0]",Y,"[20.0, 44.55036544799805, 54.36137008666992]",0.05352591350674629,1.2,cubX
101,"[49.0, 50.0, 55.0]",Y,"[35.799922943115234, 35.93991470336914, 41.48107147216797]",0.038557156920433044,1.2,cubX
102,"[52.0, 59.0, 69.0]",Y,"[38.550270080566406, 43.32576370239258, 61.42059326171875]",0.05166996270418167,1.2,cubX
103,"[54.0, 58.0, 66.0]",Y,"[35.08749771118164, 35.60258483886719, 58.4764289855957]",0.07380563765764236,1.2,cubX
